Genera	Order	Family	Woodiness	Life_form	Selfing	Fruit_type	Pollination_syndrome	Crown_Age	mean_age_dioecyR	mean_age_dioecyA
Allocasuarina	Fagales	Casuarinaceae	woody	perennial	NA	dry	abiotic	NA	0.030798626324359	NA
Asparagus	Asparagales	Asparagaceae	woody	perennial	comp	fleshy	biotic	NA	0.149599224528455	NA
Atriplex	Caryophyllales	Amaranthaceae	woody	variable	comp	dry	abiotic	16	0.364316094202416	5.82905751
Bauhinia	Fabales	Fabaceae	woody	perennial	incomp	dry	biotic	NA	0.714395358439448	NA
Begonia	Cucurbitales	Begoniaceae	herb	perennial	comp	fleshy	biotic	22	0.911785918047292	20.0592902
Boehmeria	Urticales	Urticaceae	woody	perennial	comp	dry	abiotic	NA	0.392775915967585	NA
Bursera	Sapindales	Burseraceae	woody	perennial	NA	fleshy	biotic	37	0.000769702130954091	0.02847898
Cordia	Boraginales	Boraginaceae	woody	perennial	comp	fleshy	abiotic	NA	0.828756657827026	NA
Croton	Malpighiales	Euphorbiaceae	woody	variable	comp	NA	abiotic	45	0.736658215465453	33.1496197
Dodonaea	Sapindales	Sapindaceae	woody	perennial	comp	dry	abiotic	NA	0.000084145377591961	NA
Fragaria	Rosales	Rosaceae	herb	perennial	comp	fleshy	biotic	17	0.478189952888935	8.1292292
Fraxinus	Lamiales	Oleaceae	woody	perennial	incomp	dry	abiotic	28	0.596551064961924	16.7034298
Gaertnera	Gentianales	Rubiaceae	woody	perennial	comp	fleshy	biotic	5	0.528012366036092	2.64006183
Galium	Rubiaceae	Rubieae	herb	variable	comp	NA	abiotic	32	0.771079068490984	24.6745302
Garcinia	Clusiaceae	Garcinieae	woody	perennial	comp	fleshy	biotic	NA	0.042838047767371	NA
Gunnera	Gunnerales	Gunneraceae	herb	perennial	NA	fleshy	abiotic	NA	0.508400755999223	NA
Lepechinia	Lamiales	Lamiaceae	woody	perennial	NA	dry	biotic	14	0.499420760006788	6.99189064
Leptinella	Asterales	Asteroideae	herb	perennial	comp	dry	biotic	NA	0.877079455262337	NA
Lycium	Solanales	Solanaceae	woody	perennial	comp	fleshy	biotic	4.85	0.856640386251964	4.15470587
Momordica	Cucurbitales	Cucurbitaceae	woody	perennial	NA	fleshy	biotic	30	0.191635093864639	5.74905282
Ocotea	Laurales	Lauraceae	woody	perennial	comp	fleshy	biotic	17	0.0645723178462229	1.0977294
Phoradendron	Santalales	Viscaceae	woody	perennial	NA	fleshy	biotic	NA	0.0138357358373039	NA
Pilea	Urticales	Urticaceae	woody	variable	NA	NA	NA	28	0.365834283508476	10.2433599
Piper	Piperales	Piperaceae	woody	perennial	comp	fleshy	biotic	65	0.31624012841286	20.5556083
Poa	Poales	Poaceae	herb	variable	comp	dry	abiotic	NA	0.918737864265025	NA
Rhus	Sapindales	Anacardiaceae	woody	perennial	incomp	fleshy	biotic	34	0.00647711171916248	0.2202218
Ribes	Rosales	Grossulariaceae	woody	perennial	comp	fleshy	biotic	42	0.659106866528847	27.6824884
Rubus	Rosales	Rosaceae	woody	perennial	comp	fleshy	biotic	43	0.758240579540765	32.6043449
Rumex	Caryophyllales	Polygonaceae	woody	variable	comp	dry	abiotic	29	0.265226886506472	7.69157971
Schisandra	Magnoliales	Schisandraceae	woody	perennial	NA	fleshy	biotic	NA	0.31123925863573	NA
Silene	Caryophyllales	Caryophyllaceae	herb	variable	comp	dry	biotic	NA	0.834053313243519	NA
Siparuna	Laurales	Monimiaceae	woody	perennial	NA	fleshy	biotic	54	0.256344207906352	13.8425872
Solanum	Solanales	Solanaceae	woody	variable	comp	fleshy	biotic	17	0.768182780745355	13.0591073
Thalictrum	Ranunculales	Ranuculaceae	herb	perennial	comp	dry	abiotic	14	0.849356381881134	11.8909893
Valeriana	Dipsacales	Valerianaceae	herb	variable	comp	dry	biotic	NA	0.551210624911194	NA
Vitis	Rhamnales	Vitaceae	woody	perennial	comp	fleshy	abiotic	NA	0.642176876327602	NA
Wurmbea	Liliales	Colchicaceae	herb	perennial	NA	fleshy	biotic	33	0.843554112683477	27.8372857
